card_key,card_name,note_order,reading_note
major_00_fool,The Fool,1,Beginning and ending in one — a fresh cycle starting right after one just closed
major_00_fool,The Fool,2,"Travels light, takes chances with levity"
major_00_fool,The Fool,3,"On the edge of the precipice, but calm rather than afraid of the void"
major_00_fool,The Fool,4,Trusts that the path appears once you take the step
major_00_fool,The Fool,5,"Approaches life with a beginner's mind — curious, unguarded, unjaded"
major_00_fool,The Fool,6,"Nonconformist, revolutionary energy — willing to go against convention"
major_00_fool,The Fool,7,Says yes to the unknown instead of playing it safe
major_01_magician,The Magician,1,Sees with more than the eyes — perceives both the visible and the invisible
major_01_magician,The Magician,2,You already have everything you need; success is about using the resources at hand
major_01_magician,The Magician,3,Magic hides in ordinary things — available only to those who know how to look
major_01_magician,The Magician,4,"Sharp, quick-witted intelligence; can view a situation from multiple angles at once"
major_01_magician,The Magician,5,"A gift for communication — the right words, spoken or written, at the right moment"
major_01_magician,The Magician,6,"Reminds you it's time to act on an idea, not just have it"
major_02_high_priestess,The High Priestess,1,Lives on the threshold — between the seen and unseen worlds
major_02_high_priestess,The High Priestess,2,"Her power is in receiving and being, not in acting"
major_02_high_priestess,The High Priestess,3,Deep listening — she absorbs what others carry and reflects it back transformed
major_02_high_priestess,The High Priestess,4,Trust the vision or feeling that comes without explanation
major_02_high_priestess,The High Priestess,5,"A quiet, reflected light rather than a blazing one — like the moon catching the sun's rays"
major_02_high_priestess,The High Priestess,6,Offers protection and care from a place of stillness
major_02_high_priestess,The High Priestess,7,Signals it's time to turn inward before doing anything outward
major_03_empress,The Empress,1,"Mother Earth energy — fertility, abundance, life growing in every direction"
major_03_empress,The Empress,2,"Something is ready to be born — a child, a project, an idea taking shape"
major_03_empress,The Empress,3,"Creation before form — raw, generative chaos that hasn't settled yet"
major_03_empress,The Empress,4,"Nourish, protect, and grow whatever you're tending"
major_03_empress,The Empress,5,A reminder to love and care for yourself first
major_03_empress,The Empress,6,"Pleasure, beauty, and the body are not indulgences — they're part of the message"
major_03_empress,The Empress,7,"Abundance that comes from allowing things to flourish, not forcing them"
major_04_emperor,The Emperor,1,Ready to act the instant the moment calls for it — no hesitation
major_04_emperor,The Emperor,2,Sets clear boundaries and claims space without apology
major_04_emperor,The Emperor,3,Gives shape and order to what was still raw potential
major_04_emperor,The Emperor,4,"Leadership through decisive, immediate action"
major_04_emperor,The Emperor,5,Spring's life force — breaking through and pushing forward
major_04_emperor,The Emperor,6,"A spark-first, think-later instinct; leads with action"
major_05_hierophant,The Hierophant,1,A bridge between the everyday and the sacred
major_05_hierophant,The Hierophant,2,"When reality feels shaky, lean on faith or tradition to steady it"
major_05_hierophant,The Hierophant,3,"The message arrives through a mentor, teacher, or trusted structure"
major_05_hierophant,The Hierophant,4,Spiritual truth doesn't have to abandon the pleasures of daily life
major_05_hierophant,The Hierophant,5,"Holding something divine within an ordinary, grounded life"
major_06_lovers,The Lovers,1,A real choice stands in front of you — has every angle actually been weighed?
major_06_lovers,The Lovers,2,"Two paths, both valid — the challenge is choosing, not lacking options"
major_06_lovers,The Lovers,3,"Choosing with the heart, not just the head"
major_06_lovers,The Lovers,4,"Holding the masculine and feminine, or two sides of yourself, in balance"
major_06_lovers,The Lovers,5,"A partnership or union that asks you to listen to more than one voice — body, mind, and spirit"
major_07_chariot,The Chariot,1,Determined forward motion — ambition finally in gear
major_07_chariot,The Chariot,2,"Pulled by two forces that need aligning, not fighting, to move you forward"
major_07_chariot,The Chariot,3,Success comes from uniting intuition with rational drive
major_07_chariot,The Chariot,4,"Emotion is the fuel, not the obstacle, for this journey"
major_07_chariot,The Chariot,5,"A strong start — this is initiating energy, not sustaining energy"
major_08_strength,Strength,1,"Real strength is gentle — it comes from the heart, not force"
major_08_strength,Strength,2,Taming the wilder instincts with calm rather than domination
major_08_strength,Strength,3,"Courage means acting honestly, not acting fearlessly"
major_08_strength,Strength,4,Generosity and warmth are forms of power too
major_08_strength,Strength,5,"Connection and relating to others, not standing above them"
major_09_hermit,The Hermit,1,"Solitude here is productive, not lonely"
major_09_hermit,The Hermit,2,A lantern lighting the path one careful step at a time — no need to see the whole road
major_09_hermit,The Hermit,3,Time to withdraw and look inward before moving again
major_09_hermit,The Hermit,4,Attention to small details reveals the bigger picture
major_09_hermit,The Hermit,5,"The search itself — quiet, patient introspection — is the point"
major_10_wheel_of_fortune,The Wheel of Fortune,1,"What goes up comes around — nothing here is permanent, high or low"
major_10_wheel_of_fortune,The Wheel of Fortune,2,A turning point; you're at a hinge between one cycle ending and another beginning
major_10_wheel_of_fortune,The Wheel of Fortune,3,Fortune and misfortune are both just transitions to learn from
major_10_wheel_of_fortune,The Wheel of Fortune,4,"Stay balanced at the center, even as things spin around you"
major_10_wheel_of_fortune,The Wheel of Fortune,5,Everything is connected — small choices shape what the wheel brings back
major_11_justice,Justice,1,"A mirror moment — an honest, unflinching look at yourself"
major_11_justice,Justice,2,"Acting because it's simply right, not because a rulebook says so"
major_11_justice,Justice,3,"Responsibility and fairness, driven by the heart rather than obligation"
major_11_justice,Justice,4,"Seeking balance, harmony, and beauty in how things are resolved"
major_11_justice,Justice,5,Cause and effect are catching up — reap what's been sown
major_12_hanged_man,The Hanged Man,1,"Suspended, upside down, but calm — not suffering, just paused"
major_12_hanged_man,The Hanged Man,2,"A new perspective comes from surrendering, not struggling"
major_12_hanged_man,The Hanged Man,3,Pause and let go instead of forcing the next move
major_12_hanged_man,The Hanged Man,4,Meditative stillness that deepens awareness
major_12_hanged_man,The Hanged Man,5,Sometimes you sacrifice something now to gain something better later
major_13_death,Death,1,Not an ending — a transformation that clears the way for new life
major_13_death,Death,2,"What no longer has life in it needs to be released, like dead leaves feeding the roots"
major_13_death,Death,3,Endings free up room for something essential to grow
major_13_death,Death,4,"Intense, magnetic, and a little uncomfortable — real change usually is"
major_13_death,Death,5,Look beneath the surface for what actually needs to go
major_14_temperance,Temperance,1,The journey matters more than the destination right now
major_14_temperance,Temperance,2,"Blending different, even opposing, ingredients into something greater than either alone"
major_14_temperance,Temperance,3,Patience and experience refine raw experience into wisdom
major_14_temperance,Temperance,4,Moderation — finding the right balance rather than swinging to extremes
major_14_temperance,Temperance,5,Broadening your view by mixing new experiences in
major_15_devil,The Devil,1,Not purely bad — it's misunderstood more than any other card
major_15_devil,The Devil,2,"The chains look tight, but they're actually loose enough to remove"
major_15_devil,The Devil,3,"Freedom is a responsibility you already hold, whether you use it or not"
major_15_devil,The Devil,4,"A visceral, primal pull worth acknowledging rather than denying"
major_15_devil,The Devil,5,Ask what dependency or habit is really keeping you stuck
major_16_tower,The Tower,1,"Sudden, unexpected change — the lightning strike moment"
major_16_tower,The Tower,2,What falls apart was already unstable; the collapse just makes it visible
major_16_tower,The Tower,3,The point isn't the falling — it's knowing how to fall
major_16_tower,The Tower,4,Resisting the change costs more than flowing with it
major_16_tower,The Tower,5,"Clears the way for a freer view beyond old, rigid thinking"
major_16_tower,The Tower,6,Sometimes disruption is the only way to break stagnation
major_17_star,The Star,1,Hope returning after the storm — light visible at the end of the tunnel
major_17_star,The Star,2,An act of giving that seems small but nourishes something larger
major_17_star,The Star,3,"Renewal comes through shared, communal feeling, not isolation"
major_17_star,The Star,4,"Staying open and receptive to life, rather than guarded"
major_17_star,The Star,5,A quietly nonconformist light — hope that doesn't need everyone else's approval
major_18_moon,The Moon,1,"What's hidden becomes visible in the dark, if you're willing to look"
major_18_moon,The Moon,2,Trust intuition and dreams over what's plainly stated
major_18_moon,The Moon,3,Facing the shadow side is part of becoming whole
major_18_moon,The Moon,4,A cycle is repeating — notice the pattern before it repeats again
major_18_moon,The Moon,5,The everyday and the spiritual aren't separate; they're two sides of the same coin
major_19_sun,The Sun,1,"Pure, uncomplicated joy — like a child's optimism"
major_19_sun,The Sun,2,True self-expression; showing your real nature without apology
major_19_sun,The Sun,3,"Warmth, success, and vitality radiating outward"
major_19_sun,The Sun,4,Even the Sun can burn — don't let confidence tip into self-centeredness
major_19_sun,The Sun,5,Sometimes the wisest move is to step back and simply watch things unfold
major_20_judgment,Judgment,1,A calling being answered — your true vocation coming into focus
major_20_judgment,Judgment,2,Rebirth requires passing through an ending first
major_20_judgment,Judgment,3,"Letting go of what no longer belongs to you, to make room for healing"
major_20_judgment,Judgment,4,A reckoning — reviewing the past honestly before moving forward
major_20_judgment,Judgment,5,"Your voice, finally ready to be used"
major_21_world,The World,1,A full cycle completed — the circle closes
major_21_world,The World,2,Achievement and wholeness; everything has come together
major_21_world,The World,3,"Don't linger too long in the comfort of ""done"" — a new journey is already calling"
major_21_world,The World,4,Completion that clears the way for the next beginning
