unit_number,unit_name,unit_tagline,unit_intro_copy,section_count,standard_node_count,throwback_node_count,has_unit_recap,has_cumulative_review,total_node_count,card_count,card_keys_covered,major_count,minor_count,dominant_suit,est_completion_minutes_best_case,est_completion_minutes_typical,est_completion_minutes_with_mistakes,unlock_requirement,icon_image_file,menu_order
1,First Light,Cards that click before you even know what tarot means,"The archetypes and suit-starters that need almost no explanation: The Fool, The Magician, The Empress, The Emperor, The Lovers, plus the first Ace from three suits.",8,56,0,True,False,57,8,major_00_fool|minor_cups_ace|major_01_magician|minor_wands_ace|major_03_empress|major_04_emperor|minor_pentacles_ace|major_06_lovers,5,3,Cups (1/3),57,86,142,None (first unit),major_00_fool_MASTER.png,1
2,Water Bearers,"The last of the obvious majors, then your first full royal family","Wraps up the most intuitive Major Arcana cards (Ace of Swords, Strength, Justice, The Sun) and introduces the Cups court in full - Page through King.",8,56,2,True,False,59,8,minor_swords_ace|major_08_strength|major_11_justice|major_19_sun|minor_cups_page|minor_cups_knight|minor_cups_queen|minor_cups_king,3,5,Cups (4/5),59,88,148,Unit 1 complete,minor_swords_ace_MASTER.png,2
3,Fixed Stars,Meeting everyone else who sits on a throne,"All eight remaining court cards - Wands and Pentacles, Page through King - completing the full 16-card royal family across all four suits.",8,56,2,True,True,60,8,minor_wands_page|minor_wands_knight|minor_wands_queen|minor_wands_king|minor_pentacles_page|minor_pentacles_knight|minor_pentacles_queen|minor_pentacles_king,0,8,Wands (4/8),60,90,150,Unit 2 complete,minor_wands_page_MASTER.png,3
4,The Turning Wheel,"Cards about motion, change, and consequence","The Swords court plus four Major Arcana cards built around movement and transformation: The Chariot, The Hermit, The Wheel of Fortune, and Death.",8,56,2,True,False,59,8,minor_swords_page|minor_swords_knight|minor_swords_queen|minor_swords_king|major_07_chariot|major_09_hermit|major_10_wheel_of_fortune|major_13_death,4,4,Swords (4/4),59,88,148,Unit 3 complete,minor_swords_page_MASTER.png,4
5,Storm and Star,"The deck's most dramatic, unmistakable images","Four striking Major Arcana cards (The Devil, The Tower, The Star, The World) alongside the four most visually iconic numbered cards in the whole deck.",8,56,2,True,False,59,8,major_15_devil|major_16_tower|major_17_star|major_21_world|minor_swords_03|minor_cups_10|minor_swords_10|minor_pentacles_10,4,4,Swords (2/4),59,88,148,Unit 4 complete,major_15_devil_MASTER.png,5
6,Tidewater,"One suit, start to finish","Two through Nine of Cups in full - the complete emotional arc of one suit, taught back-to-back so the throughline is easy to feel.",8,56,2,True,True,60,8,minor_cups_02|minor_cups_03|minor_cups_04|minor_cups_05|minor_cups_06|minor_cups_07|minor_cups_08|minor_cups_09,0,8,Cups (8/8),60,90,150,Unit 5 complete,minor_cups_02_MASTER.png,6
7,Kindled Fire,"Passion and momentum, plus one deeper mind","Two through Eight of Wands, paired with The High Priestess - the first genuinely abstract Major Arcana card in the curriculum.",8,56,2,True,False,59,8,major_02_high_priestess|minor_wands_02|minor_wands_03|minor_wands_04|minor_wands_05|minor_wands_06|minor_wands_07|minor_wands_08,1,7,Wands (7/7),59,88,148,Unit 6 complete,major_02_high_priestess_MASTER.png,7
8,Deep Earth,Where energy meets the material world,"The end of the Wands suit and the bulk of the Pentacles suit - the more grounded, practical half of the Minor Arcana.",8,56,2,True,False,59,8,minor_wands_09|minor_wands_10|minor_pentacles_02|minor_pentacles_03|minor_pentacles_04|minor_pentacles_05|minor_pentacles_06|minor_pentacles_07,0,8,Pentacles (6/8),59,88,148,Unit 7 complete,minor_wands_09_MASTER.png,8
9,Cutting Air,The Pentacles suit wraps up as Swords gets serious,"The last two Pentacles cards, The Hierophant, and five Swords cards - shifting the tone toward conflict and hard truths.",8,56,2,True,True,60,8,minor_pentacles_08|minor_pentacles_09|major_05_hierophant|minor_swords_02|minor_swords_04|minor_swords_05|minor_swords_06|minor_swords_07,1,7,Swords (5/7),60,90,150,Unit 8 complete,minor_pentacles_08_MASTER.png,9
10,Beyond the Veil,"The most abstract cards in the deck, saved for last","The hardest Major Arcana cards (The Hanged Man, Temperance, The Moon, Judgment) plus the final, most difficult Swords cards.",6,42,1,True,True,45,6,minor_swords_08|minor_swords_09|major_12_hanged_man|major_14_temperance|major_18_moon|major_20_judgment,4,2,Swords (2/2),45,68,112,Unit 9 complete,minor_swords_08_MASTER.png,10
