card_key,astrological_label,description_text,description_condensed,condensed_word_count,reversed_reading_notes,description_anonymized
major_00_fool,URANUS,"Card number zero is the first card of the Major Arcana, but it is also the last. It marks a starting point and an end point, in which chaos becomes the driving force behind exploration and being open to a new cycle. The Fool represents the ability to take chances with levity, he who departs with a single bag and isn't afraid to delve into the wild and unknown. He is usually depicted on the edge of a precipice, unperturbed by the void; on the contrary, he seems to dance toward it. He knows that if he takes a step, a path will appear under his foot. The Fool is associated with Uranus, which in astrology is tied to everything that is open, a predisposition for exploration and mystery, but also for exploration, intelligence, and technology in terms of quick communication. His energy is nonconformist, new and revolutionary. The signs he governs are Capricorn and Aquarius. His element is Air.","The Fool stands at both the start and end of the journey, chaos becoming the engine of a new cycle. He steps to the edge of a precipice unafraid, trusting a path will appear beneath his feet. Associated with Uranus, tied to mystery and quick, unconventional thinking, his energy resists convention and welcomes the unknown, treating every departure as an invitation rather than a risk.",65,"Recklessness without awareness, or fear so strong the leap never happens.","This character stands at both the start and end of a journey, chaos becoming the engine of a new cycle. They step to the edge of a precipice unafraid, trusting a path will appear beneath their feet. Tied to mystery and quick, unconventional thinking, this energy resists convention and welcomes the unknown, treating every departure as an invitation rather than a risk."
major_01_magician,MERCURY,"The Magician knows that you can see with more than just your eyes. He knows the visible and invisible and how to contact both. Card number one is a symbol of innate potential, or rather the personal resources of each of us and our ability to use them to obtain what we need. The Magician works with intelligence, knows that magic resides in daily things, and that it is available only to those who know how to see it. He knows it and knows how to use it. The card is associated with Mercury, an astrological aspect that describes the field of communication and bright, vibrant intelligence. Mercury is reason and irony, gifts of the Magician, who allows us to see a situation from multiple perspectives. He represents intellect, our skills, and is connected to written and spoken words. The magic wand of Mercury is the staff, the winged staff that became a symbol of medicine. He governs the signs of Virgo and Gemini, and his element is Air.","The Magician sees beyond the visible, working with the resources already within reach. He knows magic lives in ordinary things, available only to those who know how to use it. Mercury governs this card, lending sharp wit and the ability to view a situation from several angles at once. His staff recalls the caduceus, a symbol of healing, and the tools laid before him show that everything needed is already at hand.",72,"Talent manipulated for personal gain, or a block that keeps real skill from being used.","This character sees beyond the visible, working with the resources already within reach. They know magic lives in ordinary things, available only to those who know how to use it. A quick, communicative planetary energy lends sharp wit and the ability to view a situation from several angles at once. Their staff recalls a symbol of healing, and the tools laid before them show that everything needed is already at hand."
major_02_high_priestess,MOON,"The High Priestess lives on the threshold. She is a lunar and aquatic creature connected to the world of vision and reception. The Magician acts, but she receives. Her ability to relate to an inner world allows her to listen to the stories of others and transform them during the dream gestation that she completes. Water is her element, mutable and connected to the emotional, just like the moon, which presides over the tides and human emotions, which are enchanted by full moons. The High Priestess expresses her magic in her ability to be, rather than in action. Her ability to receive makes her beam a rare and unique light, like the moon, which receives the rays of the sun and transforms them into rarefied and delicate light. It is the bond of humans with nature, especially with the feminine, the receptive, maternity, and gestation. The moon is intuition and imagination. It trusts its visions. It speaks of protection and care, the same things the High Priestess offers from her threshold. She governs the signs of Cancer and Pisces and is connected to the Water element.","The High Priestess lives on the threshold between worlds, receiving rather than acting. Where the Magician does, she absorbs, holding the stories of others through a quiet, dreamlike gestation. Her light is borrowed, like the moon reflecting the sun, delicate and indirect. She embodies the feminine, gestation, and trust in inner vision, offering protection and care from behind her still, watchful veil.",62,"Intuition ignored or drowned out, or secrets revealed before they're ready to be shared.","This character lives on the threshold between worlds, receiving rather than acting. Where another figure acts, she absorbs, holding the stories of others through a quiet, dreamlike gestation. Her light is borrowed, like reflected light, borrowing its glow from elsewhere, delicate and indirect. She embodies the feminine, gestation, and trust in inner vision, offering protection and care from behind her still, watchful veil."
major_03_empress,VENUS,"The Empress carries the number three of the Major Arcana. Three is creation and follows the intimate reflection of two. The Empress is love, pleasure, body, harmony, and nourishment. The incarnation of Mother Earth, she represents fertility, abundance, life that grows and is developed through all its possibilities. She is the one who gives life, be it a new human or a project, idea, or vision. She is creative chaos, substance before it takes shape, the ability to love, care for, nourish, protect, and grow. The Empress reminds us of the importance of loving ourselves, and she is deeply connected to the feminine. Venus, the planet she is tied to, is an expression of beauty, the joy of pleasure, well-being expressed through a relationship; it is our body and health. It is also the star of the night, the one that shines first, thanks to its inner light. The corresponding signs are Libra and Taurus, and she belongs to the Earth element.","Card three follows the private reflection of the Two with creation itself. The Empress is Mother Earth incarnate, giving life to a child, a project, or an idea, and reminding us to nurture ourselves as generously as we nurture others. Venus, her ruling planet, brings pleasure, bodily wellbeing, and the glow that comes from within, echoed in the crown of stars and ripened wheat framing her throne.",67,"Nurturing turned smothering, or self-neglect leaving creative energy blocked instead of flowing.","This character follows a private moment of reflection with creation itself. She is Mother Earth incarnate, giving life to a child, a project, or an idea, and reminding us to nurture ourselves as generously as we nurture others. A planet of pleasure and beauty brings bodily wellbeing and the glow that comes from within, echoed in the crown of stars and ripened wheat framing her throne."
major_04_emperor,ARIES,"The Emperor, card number four, sits on his throne but is ready to spring into action. This figure speaks of the energy of those who can act at the right moment without losing themselves in hesitation. In addition, the Emperor is able to set clear boundaries and take space for himself. Here, the creative chaos of the previous card takes shape. He rules over life-giving order, the real manifestation of what we have imagined. The Emperor is associated with the sign Aries. Both react to the life force of spring, which allows a blade of grass to break through the earth and sprout. Both are action, immediate reaction, and pure life. Aries loves new things, which it abandons as soon as something new arrives. It is the spark of Mars, the ability to act before thinking, instinct. Aries and the Emperor are combative, energetic, reactive, and they manifest a great capacity for leadership.","The Emperor sits ready to act, giving shape to the creative chaos that came before him. He sets clear boundaries and claims his own space without hesitation. Paired with Aries, he shares its springtime urgency, the instinct to sprout and push forward before overthinking. Ruled by Mars's spark, both are combative, reactive, and quick to abandon what no longer excites them, in pursuit of pure momentum.",66,"Authority curdled into rigidity and control, or an inability to set any boundaries at all.","This character sits ready to act, giving shape to the creative chaos that came before. He sets clear boundaries and claims his own space without hesitation. He shares a springtime urgency, the instinct to sprout and push forward before overthinking, ruled by a spark of drive that is combative, reactive, and quick to abandon what no longer excites, in pursuit of pure momentum."
major_05_hierophant,TAURUS,"Card number five, the Hierophant, is a card in which crisis is experienced for the first time. After the stability of four, five makes our reality waver and places us in a deeper search for meaning in things. The Hierophant, or pontiff, creates a bridge between the sky and the earth, between what is habitual, real, manifest, and what lies high in the skies, the rarefied and mystical. He teaches us that in difficult moments, we must appeal to our more spiritual side. Through this we can overcome those moments. It seems strange to associate Taurus, a sign connected to the pleasures of life, with such a spiritual card, but Taurus knows about ephemeral, and therefore fully lives in the present moment, enjoying and satisfying the senses. Taurus has high values that are manifested in reality. Aries is the divine spark, and Taurus is the true birth, the manifestation of that which is human on Earth, which holds the flame of the divine within.","After the stability of Four, the Hierophant introduces the first real crisis, a deeper search for meaning. He bridges the everyday and the sacred, teaching that a spiritual perspective can carry us through hard moments. Pairing him with sensory, present-focused Taurus seems unlikely, until you notice Taurus fully inhabits the here and now. Aries was divine spark; Taurus is the true birth, holding that flame within earthly form.",68,"Rigid dogma, or rejecting all guidance and structure rather than finding a middle path.","After a period of stability, this character introduces the first real crisis, a deeper search for meaning. He bridges the everyday and the sacred, teaching that a spiritual perspective can carry us through hard moments. He's paired with a sensory, present-focused sign that fully inhabits the here and now, holding a flame within earthly form."
major_06_lovers,GEMINI,"The sign Gemini is characterized by a communicative ability, by the need to investigate and know. Mutable and free, it is tied to the Air element and governed by the planet Mercury, a symbol of communication and mobility. When we speak of Gemini, we are in the realm of mind and intellectual reasoning. Likewise, the Lovers card portrays two people, two complementary elements, often a man and a woman positioned in the form of a triangle with an angel that watches over from above. This card is tied to the possibilities of choice: What path will you take? Have you assessed all aspects of the matter? It represents the multiple parts of us, masculine and feminine, and their nuances. Together, the two figures and the angel can share something about the body, mind, and spirit. Our ability to choose increases and is aware when we listen carefully to these three voices.","Gemini's communicative, inquisitive mind, ruled by Mercury and tied to Air, sets the tone for the Lovers. The card usually shows two figures beneath a watching angel, forming a triangle of body, mind, and spirit. It centers on a fork in the road: have you weighed every part of the decision? True choice comes from listening to all three voices together, not from the heart alone.",66,"Indecision, or a choice made from fear and pressure rather than the heart.","A communicative, inquisitive mind sets the tone here. The card usually shows two figures beneath a watching angel, forming a triangle of body, mind, and spirit. It centers on a fork in the road: have you weighed every part of the decision? True choice comes from listening to all three voices together, not from the heart alone."
major_07_chariot,CANCER,"To better understand the relationship between the sign Cancer and card number seven, the Chariot, we must start from the fact that Cancer is a cardinal sign, and therefore it holds the power to start something. More specifically, Cancer is an initiator for anything that relates to the world of intuition, relationships and emotions. Those who belong to the sign are generally sensitive and emotional. The Chariot card, likewise, is a card of beginnings and great movement connected to determination and ambition. The Chariot is pulled by two horses, which can be a symbol of the forces that move us. Only by aligning our intuition with rationality can we reach our goal. The driving force of Cancer, its emotional water, will fertilize and feed the journey we must complete.","Cancer is a cardinal sign, an initiator especially in matters of intuition, relationships, and feeling. That same initiating drive appears in the Chariot, a card of momentum and ambition. Two horses pull it in different directions, symbols of the forces moving us, and only by aligning intuition with reason can we actually reach the goal. Cancer's emotional current becomes the fuel for the whole journey.",65,"Momentum stalled, or forcing forward motion without the emotional alignment to sustain it.","A cardinal sign is an initiator especially in matters of intuition, relationships, and feeling, and that same initiating drive appears in this card of momentum and ambition. Two horses pull it in different directions, symbols of the forces moving us, and only by aligning intuition with reason can we actually reach the goal. An emotional current becomes the fuel for the whole journey."
major_08_strength,LEO,"In card number eight, Strength, a lion is depicted, an obvious reference to the zodiac sign. The characteristics of the sign Leo are courage, personal power, regality, and the connection with everything, which makes Leo feel fully centered. The strength of Leo, therefore, is not its supremacy over other creatures, but rather a sense of community and contact, the ability to relate. The Strength card is not about aggressive strength or physical prowess. Here, it refers to a gentler energy that comes from within and radiates outward. Strength, like Leo, starts with the heart. It is courage, the ability to follow the heart and act honestly. It is the act of being generous, having the determination to bring out creativity in harmony with everything else. In this card, our gentle side can control the more aggressive instincts and change our actions in the world to bring harmony.","Strength depicts a lion, Leo's clear signature: courage, personal power, and a sense of belonging rather than dominance. This isn't physical force, it's a gentler energy that comes from within and radiates outward. Like Leo, it means following your heart honestly, acting with generosity, and letting creativity flow in harmony with others, letting that softness guide and calm our more aggressive instincts.",62,"Self-doubt overpowering courage, or force and control replacing gentle, heart-led strength.","This card depicts a lion: courage, personal power, and a sense of belonging rather than dominance. This isn't physical force, it's a gentler energy that comes from within and radiates outward. It means following your heart honestly, acting with generosity, and letting creativity flow in harmony with others, letting that softness guide and calm our more aggressive instincts."
major_09_hermit,VIRGO,"The planet that governs the sign of Virgo is Mercury, here in its earthly appearance. The planet of communication and speed becomes detail-oriented, able to organize resources and be forward-thinking. Virgo carries its light in the real, material world, that of daily life. Being the sign Virgo also means knowing how to be independent, seeing solitude as productive and strength-generating. The Hermit is a master of this art. The solitude of the Hermit is always a state of calm, searching and introspection. The lantern he carries illuminates the path, step by step, focusing on the details typical of Virgo and its persistence. The path of the Hermit, the first card that carries light in the Major Arcana, is the path that leads to our spiritual center.","Virgo is ruled by Mercury in its most grounded form, detail-oriented and quietly organized. The Hermit masters Virgo's gift for solitude, treating being alone as generative rather than lonely. His lantern lights the path one careful step at a time, mirroring Virgo's patient attention to detail. As the first card in the deck to carry light, the Hermit's path leads inward, toward a spiritual center.",65,"Solitude tipping into isolation, or avoiding the reflection this card usually invites.","A grounded, detail-oriented planetary energy quietly organizes here. This character masters a gift for solitude, treating being alone as generative rather than lonely. Their lantern lights the path one careful step at a time, mirroring a patient attention to detail. As the first card in the deck to carry light, this path leads inward, toward a spiritual center."
