symbol_type,symbol_name,phrase_order,phrase,source_card,linked_element
Planet,Mercury,1,communication,The Magician,
Planet,Mercury,2,quick intelligence,The Magician,
Planet,Mercury,3,reason and wit,The Magician,
Planet,Mercury,4,seeing a situation from multiple angles at once,The Magician,
Planet,Moon,1,intuition,The High Priestess,
Planet,Moon,2,reception rather than action,The High Priestess,
Planet,Moon,3,emotional tides,The High Priestess,
Planet,Moon,4,protection and care offered from stillness,The High Priestess,
Planet,Venus,1,love,The Empress,
Planet,Venus,2,pleasure,The Empress,
Planet,Venus,3,beauty,The Empress,
Planet,Venus,4,harmony,The Empress,
Planet,Venus,5,connection and well-being expressed through relationship,The Empress,
Planet,Jupiter,1,expansion,The Wheel of Fortune,
Planet,Jupiter,2,growth,The Wheel of Fortune,
Planet,Jupiter,3,luck,The Wheel of Fortune,
Planet,Jupiter,4,abundance,The Wheel of Fortune,
Planet,Jupiter,5,"guiding, generous energy",The Wheel of Fortune,
Planet,Jupiter,6,risk of excess if unchecked,The Wheel of Fortune,
Planet,Mars,1,direct action,The Tower,
Planet,Mars,2,assertive drive,The Tower,
Planet,Mars,3,stirring stagnant energy into motion,The Tower,
Planet,Mars,4,defending against injustice,The Tower,
Planet,Sun,1,vitality,The Sun,
Planet,Sun,2,warmth,The Sun,
Planet,Sun,3,true self-expression,The Sun,
Planet,Sun,4,radiates confidence and success,The Sun,
Planet,Sun,5,risk of self-centeredness,The Sun,
Planet,Saturn,1,structure,The World,
Planet,Saturn,2,limits,The World,
Planet,Saturn,3,responsibility,The World,
Planet,Saturn,4,discipline that closes one cycle so another can begin,The World,
Planet,Uranus,1,innovation,The Fool,
Planet,Uranus,2,sudden insight,The Fool,
Planet,Uranus,3,nonconformist energy,The Fool,
Planet,Uranus,4,revolutionary energy,The Fool,
Planet,Uranus,5,breaking old patterns open,The Fool,
Planet,Pluto,1,transformation through death and rebirth,Judgment,
Planet,Pluto,2,releasing what no longer belongs,Judgment,
Planet,Pluto,3,reaching healing,Judgment,
Planet,Neptune,1,dreams,The Hanged Man,
Planet,Neptune,2,mystery,The Hanged Man,
Planet,Neptune,3,surrender,The Hanged Man,
Planet,Neptune,4,"fluid, hidden depth",The Hanged Man,
Planet,Neptune,5,dissolving rigid boundaries,The Hanged Man,
Zodiac Sign,Aries,1,initiating instinct,The Emperor,
Zodiac Sign,Aries,2,courage,The Emperor,
Zodiac Sign,Aries,3,spark of pure life force,The Emperor,
Zodiac Sign,Aries,4,acts before it thinks,The Emperor,
Zodiac Sign,Taurus,1,grounded sensory pleasure,The Hierophant,
Zodiac Sign,Taurus,2,patiently manifesting ideals,The Hierophant,
Zodiac Sign,Taurus,3,"real, lived, material form",The Hierophant,
Zodiac Sign,Gemini,1,curiosity,The Lovers,
Zodiac Sign,Gemini,2,duality,The Lovers,
Zodiac Sign,Gemini,3,"communicative, investigative mind",The Lovers,
Zodiac Sign,Gemini,4,weighing every angle of a choice,The Lovers,
